Sheet Name	ObjectID	Object Name	Location	Expression
Managerial	CH100	 	Chart Main Expression	=Count (MilestoneStatus)
Managerial	CH101	 	Chart Main Expression	=Count (MilestoneCreatedOn)
Customer	CH119	 	Chart Main Expression	=Count (OppStatus)
Sales	CH130	 	Chart Main Expression	=Count (OppModifiedOn)
Sales	CH131	 	Chart Main Expression	=Count (LeadCreatedOn)
Sales	CH132	 	Chart Main Expression	=Count(LeadStatus)
Customer	CH133	  	Chart Main Expression	=Sum (ContractTotalValue)
Managerial	CH136	 	Chart Main Expression	=Count (ProjectStatus)
HR	CH137	 	Chart Main Expression	=Sum (BillableHours)
HR	CH138	 	Chart Main Expression	=Count (TimesheetStatus)
Managerial	CH139	 	Chart Main Expression	=Count (ProjectCreatedOn)
Managerial	CH140	 		=If(MilestoneStatus='Completed','Complete','Incomplete')
Managerial	CH140	 	Chart Main Expression	=Sum(MilestoneAmount)
Finance	CH141	 	Chart Main Expression	=Sum (PaidAmount)
Managerial	CH142	 	Chart Main Expression	=Sum (PaidAmount)
Finance	CH143	 		=If(MilestoneStatus='Completed','Complete','Incomplete')
Finance	CH143	 	Chart Main Expression	=Sum(MilestoneAmount)
Managerial	CH149	 	Chart Main Expression	=Count (OppStatus)
Sales	CH58	 	Chart Main Expression	=Count (LeadTopic)
Sales	CH61	 	Chart Main Expression	=Count (LeadID)
Sales	CH62	 	Chart Main Expression	=Count(LeadSource)
HR	CH77	 	Chart Main Expression	=Sum (BillableHours)
HR	CH82	 	Chart Main Expression	=Sum (BillableHours)
HR	CH83	 	Chart Main Expression	=Count (EmployeeID)
Finance	CH87	 	Chart Main Expression	=Sum (PaidAmount)
Customer	CH90	 	Chart Main Expression	=Count (QuoteModifiedOn)
Customer	CH91	 	Chart Main Expression	=Count (OppCreatedOn)
Customer	CH97	 	Chart Main Expression	=Count (ContractStatus)
Customer	CH98	 	Chart Main Expression	=Count (QuoteCreatedOn)
Customer	CH99	 	Chart Main Expression	=Count (ContractCreatedOn)
Sales	LB33	Lead Months		=Month(LeadModifiedOn)

Sales	LB34	Lead Years		=Year(LeadModifiedOn)
