Deadline,Date of Test Executed,Project ID,Project Name,User ID,User Agent,Testing Scope,Test Case ID,Test Case,Test Case Status,Request Method,Requested Source,Test Case Outcome Message,Error Message,Actual Test Case Outcome,Reason for failure,Response Size,Findings (Affected Components),Severity ratings
05/10/2024,22/10/2024,PRJ-082,Web Application Contract Project,USER-015,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-001,Input Validation,Completed,GET,/v1/tiles,Fail,HTTP/2 204 No Content,,,,User profile page,Medium
01/10/2024,22/10/2024,PRJ-095,Network Segmentation Contract Project,USER-014,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-002,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Low
18/10/2024,22/10/2024,PRJ-012,ERP Reporting & Analytics Implementation Contract Project,USER-028,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-003,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Low
26/10/2024,22/10/2024,PRJ-026,Compliance (HIPAA) Contract Project,USER-092,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-004,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,High
05/10/2024,22/10/2024,PRJ-001,External Network Contract Project,USER-098,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-005,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,High
04/10/2024,22/10/2024,PRJ-028,Data Security and Privacy Contract Project,USER-098,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-006,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Critical
30/10/2024,22/10/2024,PRJ-046,Distributed Denial of Service (DDoS) Protection Contract Project,USER-045,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-007,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Low
23/10/2024,22/10/2024,PRJ-049,Virtual Private Network (VPN) Deployment Contract Project,USER-011,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-008,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Medium
28/10/2024,22/10/2024,PRJ-009,Password Security Contract Project,USER-006,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-009,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Medium
12/10/2024,22/10/2024,PRJ-013,Wireless Network Security Contract Project,USER-049,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-010,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Medium
18/10/2024,22/10/2024,PRJ-046,Distributed Denial of Service (DDoS) Protection Contract Project,USER-027,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-011,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Medium
30/10/2024,22/10/2024,PRJ-094,API Security Contract Project,USER-032,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-012,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,High
27/10/2024,22/10/2024,PRJ-082,Web Application Contract Project,USER-089,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-013,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Medium
