Date of Test Executed,Project ID,Project Name,User ID,User Agent,Testing Scope,Testing Scope Status,Test Case ID,Test Case,Test Case Status,Request Method,Requested Source,Test Case Outcome Message,Error Message,Actual Test Case Outcome,Reason for failure/success,Response Size,Findings (Affected Components),Severity ratings
"Tue, 22 Oct 2024 02:20:33 GMT",PRJ-082,Test Case 1,USER-015,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-001,User profile page,Completed,GET,/v1/tiles,Fail,HTTP/2 204 No Content,,,,User profile page,Low
"Tue, 22 Oct 2024 02:21:00 GMT",PRJ-087,Test Case 2,USER-095,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-002,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Medium
,PRJ-030,Test Case 3,USER-065,,WEB,In progress,TC-003,User profile page,Not Started,,,,,,,,Database,High
"Tue, 22 Oct 2024 02:21:01 GMT",PRJ-001,Test Case 4,USER-098,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,In progress,TC-004,Payment gateway,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Medium
,PRJ-098,Test Case 5,USER-044,,WEB,In progress,TC-005,Login form,Not Started,,,,,,,,Payment gateway,High
"Tue, 22 Oct 2024 02:21:02 GMT",PRJ-078,Test Case 6,USER-034,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-006,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Low
,PRJ-071,Test Case 7,USER-038,,APP,Not started,TC-007,Login form,Not Started,,,,,,,,User profile page,High
"Tue, 22 Oct 2024 02:21:03 GMT",PRJ-011,Test Case 8,USER-030,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,In progress,TC-008,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Medium
"Tue, 22 Oct 2024 02:21:05 GMT",PRJ-048,Test Case 9,USER-046,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-009,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Medium
,PRJ-069,Test Case 10,USER-094,,WEB,In progress,TC-010,Database,Not Started,,,,,,,,Payment gateway,Medium
,PRJ-088,Test Case 11,USER-042,,WEB,Not started,TC-011,Payment gateway,Not Started,,,,,,,,Database,High
,PRJ-009,Test Case 12,USER-028,,APP,In progress,TC-012,Database,Not Started,,,,,,,,Database,Medium
"Tue, 22 Oct 2024 02:21:06 GMT",PRJ-034,Test Case 13,USER-018,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-013,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Critical
"Tue, 22 Oct 2024 02:21:07 GMT",PRJ-047,Test Case 14,USER-029,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-014,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Medium
,PRJ-081,Test Case 15,USER-021,,APP,In progress,TC-015,Database,Not Started,,,,,,,,Session management,Critical
