ContractID,QuoteID,AccountID,ContractNumber,Name,Status,StartDate,EndDate,TotalValue,BillingFrequency,PaymentTerms,CreatedOn,ModifiedOn
CON-001,QUO-008,ACC-003,C2025-001,Sales Performance Optimization Contract,Pending,2025-02-24,2026-11-24,9613.7,As Per Contract Milestone,Net 90,2025-01-25,2025-02-14
CON-002,QUO-032,ACC-002,C2025-002,Risk Management Analytics Contract,Suspended,2025-02-17,2026-09-01,52690.77,As Per Contract Milestone,Net 90,2025-01-19,2026-04-23
CON-003,QUO-041,ACC-001,C2025-003,Predictive Maintenance Contract,Completed,2025-07-12,2027-05-22,48620.42,Quarterly,Net 30,2025-06-27,2027-05-22
CON-004,QUO-047,ACC-003,C2025-004,Fraud Detection Contract,Pending,2025-06-18,2026-09-27,49485.54,As Per Contract Milestone,Net 90,2025-06-09,2025-06-24
CON-005,QUO-060,ACC-002,C2025-005,ERP Implementation - TechCorp Contract,Draft,2025-03-27,2026-06-02,41920.43,Annually,Net 30,2025-03-11,2025-04-07
CON-006,QUO-062,ACC-004,C2025-006,Cloud-Based ERP Upgrade Contract,Pending,2025-03-19,2026-07-02,46442.84,Quarterly,Net 60,2025-02-24,2025-03-26
CON-007,QUO-073,ACC-003,C2025-007,Post-Implementation ERP Support Contract,Approved,2025-04-26,2027-04-14,17044.06,Quarterly,Net 90,2025-04-22,2025-05-07
CON-008,QUO-078,ACC-004,C2025-008,Phishing Simulation Contract,Cancelled,2025-04-29,2026-06-12,36070.65,Monthly,Net 90,2025-04-06,2025-04-06
CON-009,QUO-087,ACC-004,C2025-009,Customer Experience Enhancement Contract,Approved,2025-07-14,2026-08-26,47751.15,Quarterly,Net 60,2025-06-22,2025-07-04
CON-010,QUO-131,ACC-002,C2025-010,Network Infrastructure Contract,Expired,2025-07-03,2026-11-22,25416.45,Quarterly,Net 90,2025-06-04,2026-12-17
CON-011,QUO-138,ACC-003,C2025-011,Wireless Network Contract,Pending,2025-03-23,2026-05-26,47061.94,As Per Contract Milestone,Net 90,2025-03-18,2025-03-21
CON-012,QUO-162,ACC-001,C2025-012,Supply Chain Optimization Contract,Pending,2025-04-01,2026-08-08,50875.47,Monthly,Net 90,2025-03-02,2025-03-02
CON-013,QUO-168,ACC-001,C2024-013,Infrastructure as a Service (IaaS) Contract,Cancelled,2025-01-13,2026-06-13,52206.88,Quarterly,Net 60,2024-12-27,2025-01-02
CON-014,QUO-190,ACC-004,C2025-014,Database Encryption Contract,Approved,2025-05-28,2026-08-11,40570.57,Annually,Net 30,2025-05-12,2025-05-13
CON-015,QUO-204,ACC-002,C2025-015,Full Disk Encryption Contract,Cancelled,2025-05-04,2026-06-27,21513.87,Annually,Net 30,2025-04-19,2025-05-15
CON-016,QUO-209,ACC-003,C2025-016,Email Encryption Contract,Suspended,2025-05-06,2026-06-27,28895.6,Quarterly,Net 90,2025-05-01,2025-12-16
CON-017,QUO-219,ACC-002,C2025-017,Cloud Storage Encryption Contract,Completed,2025-06-28,2027-04-11,48823.67,As Per Contract Milestone,Net 30,2025-06-11,2027-04-11
CON-018,QUO-252,ACC-001,C2025-018,Social Engineering Awareness Contract,Completed,2025-08-22,2027-02-24,48134.91,Monthly,Net 60,2025-07-28,2027-02-24
CON-019,QUO-280,ACC-004,C2025-019,Infrastructure as a Service (IaaS) Contract,Expired,2025-05-03,2026-11-02,54566.48,Monthly,Net 30,2025-05-02,2026-11-06
CON-020,QUO-297,ACC-001,C2025-020,Hybrid Cloud Implementation Contract,Draft,2025-06-27,2027-03-06,33842.29,Monthly,Net 90,2025-06-14,2025-07-08
CON-021,QUO-299,ACC-003,C2025-021,Data Migration & Integration Contract,Draft,2025-04-11,2026-06-18,12580.42,Monthly,Net 90,2025-03-14,2025-03-29
CON-022,QUO-306,ACC-001,C2025-022,Application Modernization Contract,Cancelled,2025-05-20,2026-10-22,7897.88,Annually,Net 30,2025-05-06,2025-06-02
CON-023,QUO-319,ACC-003,C2025-023,Database Encryption Contract,Suspended,2025-02-14,2026-03-15,19463.71,Monthly,Net 60,2025-02-06,2026-08-17
CON-024,QUO-354,ACC-004,C2025-024,Intrusion Detection/Prevention System (IDS/IPS) Contract,Expired,2025-03-23,2026-12-25,13253.52,Monthly,Net 90,2025-03-06,2027-01-11
CON-025,QUO-368,ACC-004,C2025-025,Network Infrastructure Contract,Pending,2025-05-08,2027-04-17,30173.69,As Per Contract Milestone,Net 60,2025-04-08,2025-05-02
CON-026,QUO-386,ACC-002,C2025-026,Cloud Environment Contract,Approved,2025-03-17,2026-08-04,9306.5,Quarterly,Net 30,2025-02-27,2025-03-03
CON-027,QUO-409,ACC-003,C2025-027,Compliance (HIPAA) Contract,Approved,2025-07-09,2027-03-31,52547.61,As Per Contract Milestone,Net 30,2025-07-08,2025-07-13
CON-028,QUO-435,ACC-003,C2025-028,Cloud Environment Contract,Draft,2025-05-29,2027-01-05,7660.61,As Per Contract Milestone,Net 90,2025-05-07,2025-06-04
CON-029,QUO-494,ACC-004,C2025-029,Email Encryption Contract,Draft,2025-04-26,2026-08-20,23849.01,Monthly,Net 30,2025-04-20,2025-05-07
CON-030,QUO-507,ACC-002,C2025-030,Mobile Device Encryption Contract,Completed,2025-03-14,2026-11-10,39727.25,Annually,Net 30,2025-03-06,2026-11-10
CON-031,QUO-526,ACC-002,C2025-031,Supply Chain Optimization Contract,Completed,2025-03-02,2026-08-11,15456.73,Annually,Net 60,2025-02-15,2026-08-11
CON-032,QUO-545,ACC-003,C2025-032,File Encryption Contract,Draft,2025-06-13,2027-03-30,36352.44,Annually,Net 60,2025-05-30,2025-06-19
CON-033,QUO-596,ACC-004,C2025-033,Ransomware Attack Contract,Draft,2025-08-15,2027-04-13,20959.33,Annually,Net 90,2025-07-28,2025-08-25
