OpportunityID,Name,AccountID,LeadID,Stage,Probability,EstimatedValue,ExpectedCloseDate,ActualCloseDate,Status,Description,OwnerID,CreatedOn,ModifiedOn
OPP-001,Web Application,ACC-004,LEAD-001,Discovery,30,23147,2025-05-22,2025-03-10,Won,Simulate real-world attacks against web applications to identify vulnerabilities and weaknesses.,USER-017,2025-02-25,2025-03-10
OPP-002,Database Encryption,ACC-002,LEAD-004,Discovery,90,20356,2025-08-19,2025-01-15,Cancelled,"Implement encryption for sensitive data stored in databases, protecting against unauthorized access.",USER-005,2024-12-31,2025-01-15
OPP-003,File Encryption,ACC-001,LEAD-004,Follow Up,90,11787,2025-06-03,2025-01-20,Cancelled,Encrypt individual files and folders to protect sensitive data from unauthorized access and disclosure.,USER-005,2025-01-05,2025-01-20
OPP-004,Full Disk Encryption,ACC-003,LEAD-004,Connected,60,11383,2025-04-17,2025-02-02,Cancelled,Encrypt entire hard drives or storage devices to protect all data stored on them.,USER-005,2025-01-12,2025-02-02
OPP-005,Email Encryption,ACC-003,LEAD-004,Connected,90,17878,2025-10-08,,In Progress,Encrypt email communications to protect sensitive information from interception and unauthorized access.,USER-005,2025-01-19,2025-02-04
OPP-006,Cloud Storage Encryption,ACC-001,LEAD-004,Follow Up,60,38904,2025-05-25,2025-01-31,Cancelled,"Encrypt data stored in cloud storage services, ensuring data privacy and security.",USER-005,2025-01-22,2025-01-31
OPP-007,Mobile Device Encryption,ACC-002,LEAD-004,Follow Up,60,26905,2025-12-15,2025-02-09,Cancelled,Encrypt data stored on mobile devices to protect against loss or theft.,USER-005,2025-01-30,2025-02-09
OPP-008,Application Data Encryption,ACC-001,LEAD-004,Follow Up,30,46818,2025-05-13,2025-03-02,Won,Implement encryption within applications to protect sensitive data processed and stored by the application.,USER-005,2025-02-06,2025-03-02
OPP-009,Network Traffic Encryption (TLS/SSL),ACC-004,LEAD-004,Connected,90,27712,2025-04-06,2025-02-07,Won,Encrypt network traffic using TLS/SSL protocols to protect data transmitted over networks.,USER-005,2025-02-06,2025-02-07
OPP-010,Key Management System (KMS) Implementation,ACC-002,LEAD-004,Discovery,30,40345,2025-06-26,2025-02-20,Won,Implement a key management system to securely manage encryption keys throughout their lifecycle.,USER-005,2025-02-08,2025-02-20
OPP-011,Phishing Simulation,ACC-004,LEAD-008,Follow Up,90,43747,2025-08-16,,In Progress,Conduct simulated phishing campaigns to educate employees on recognizing and avoiding phishing attacks.,USER-012,2025-02-26,2025-03-21
OPP-012,Ransomware Prevention,ACC-004,LEAD-008,Connected,90,20256,2025-07-06,2025-03-26,Cancelled,"Train employees on how to prevent ransomware attacks, including recognizing malicious emails and downloads.",USER-012,2025-03-07,2025-03-26
OPP-013,Password Security,ACC-004,LEAD-008,Follow Up,90,56772,2025-08-05,2025-04-14,Won,"Educate employees on creating strong passwords, using password managers, and avoiding password reuse.",USER-012,2025-03-15,2025-04-14
OPP-014,Data Privacy and GDPR,ACC-004,LEAD-008,Discovery,30,9931,2025-07-15,,In Progress,"Provide training on data privacy regulations, including GDPR, and best practices for protecting sensitive data.",USER-012,2025-03-18,2025-04-06
OPP-015,Social Engineering Awareness,ACC-001,LEAD-008,Discovery,90,27428,2026-02-09,2025-04-16,Won,"Train employees on recognizing and avoiding social engineering tactics, such as pretexting and baiting.",USER-012,2025-03-22,2025-04-16
OPP-016,Mobile Device Security,ACC-003,LEAD-008,Connected,30,45057,2025-06-16,2025-04-05,Won,"Educate employees on securing mobile devices, including using strong passcodes and avoiding unsecured Wi-Fi.",USER-012,2025-03-25,2025-04-05
OPP-017,Remote Work Security,ACC-004,LEAD-008,Discovery,30,28232,2025-05-30,,In Progress,"Provide training on security best practices for remote work, including using VPNs and securing home networks.",USER-012,2025-03-31,2025-04-04
OPP-018,Insider Threat Awareness,ACC-003,LEAD-008,Follow Up,60,31088,2026-01-29,2025-04-24,Won,"Train employees on recognizing and reporting insider threats, such as data exfiltration and sabotage.",USER-012,2025-04-05,2025-04-24
OPP-019,Incident Reporting,ACC-001,LEAD-008,Connected,30,10902,2025-06-05,,In Progress,Educate employees on how to report security incidents and breaches promptly and effectively.,USER-012,2025-04-08,2025-05-06
OPP-020,Safe Web Browsing,ACC-003,LEAD-008,Discovery,60,12162,2026-04-08,2025-04-15,Won,"Provide training on safe web browsing practices, including avoiding suspicious websites and downloads.",USER-012,2025-04-11,2025-04-15
OPP-021,ERP Implementation - TechCorp,ACC-004,LEAD-009,Follow Up,60,49380,2025-06-12,2025-01-20,Cancelled,"Comprehensive ERP system implementation for TechCorp, including requirements gathering, configuration, data migration, testing, and user training.",USER-006,2024-12-25,2025-01-20
OPP-022,Cloud-Based ERP Upgrade,ACC-001,LEAD-009,Connected,60,47059,2025-09-04,2025-01-23,Cancelled,"Upgrade existing on-premise ERP to a cloud-based solution, improving scalability and accessibility.",USER-006,2025-01-02,2025-01-23
OPP-023,ERP Customization & Integration,ACC-004,LEAD-009,Follow Up,60,45120,2025-05-25,,In Progress,Customize and integrate the ERP system with existing business applications and third-party tools.,USER-006,2025-01-07,2025-01-18
OPP-024,ERP Data Migration Project,ACC-004,LEAD-009,Follow Up,60,28915,2025-05-16,,In Progress,"Plan and execute the migration of legacy data to the new ERP system, ensuring data integrity and accuracy.",USER-006,2025-01-11,2025-02-08
OPP-025,Firewall Implementation,ACC-002,LEAD-011,Follow Up,30,11268,2025-10-31,,In Progress,Implement and configure firewalls to control network traffic and protect against unauthorized access.,USER-009,2025-01-16,2025-01-17
OPP-026,Intrusion Detection/Prevention System (IDS/IPS),ACC-004,LEAD-011,Connected,90,21580,2025-05-07,2025-02-14,Won,Deploy IDS/IPS systems to detect and prevent network intrusions and malicious activity.,USER-009,2025-01-20,2025-02-14
OPP-027,Virtual Private Network (VPN) Deployment,ACC-003,LEAD-011,Discovery,90,17391,2025-12-04,2025-02-18,Cancelled,Deploy VPN solutions to provide secure remote access to network resources.,USER-009,2025-01-23,2025-02-18
OPP-028,Security Information and Event Management (SIEM),ACC-004,LEAD-011,Connected,30,42272,2026-01-13,2025-02-10,Won,"Implement SIEM solutions to collect, analyze, and correlate security logs and events.",USER-009,2025-01-24,2025-02-10
OPP-029,Network Access Control (NAC),ACC-001,LEAD-011,Connected,90,13239,2025-05-20,,In Progress,Implement NAC solutions to control access to network resources based on user and device identity.,USER-009,2025-01-30,2025-02-19
OPP-030,Wireless Network Security,ACC-004,LEAD-011,Connected,90,27158,2025-04-03,,In Progress,"Secure wireless networks using strong encryption, authentication, and access control measures.",USER-009,2025-02-06,2025-03-04
OPP-031,Network Segmentation,ACC-001,LEAD-011,Follow Up,90,48879,2025-05-29,2025-03-02,Cancelled,Segment networks to isolate critical systems and limit the impact of security breaches.,USER-009,2025-02-06,2025-03-02
OPP-032,Network Vulnerability Scanning,ACC-003,LEAD-011,Connected,90,24775,2025-09-27,2025-03-07,Won,Perform regular network vulnerability scans to identify and remediate security weaknesses.,USER-009,2025-02-07,2025-03-07
OPP-033,Network Penetration Testing,ACC-002,LEAD-011,Connected,90,44648,2026-01-18,2025-03-06,Cancelled,Conduct network penetration testing to simulate real-world attacks and identify exploitable vulnerabilities.,USER-009,2025-02-07,2025-03-06
OPP-034,Customer Behavior Analysis,ACC-001,LEAD-013,Connected,30,43253,2025-02-19,2025-01-10,Won,"Develop analytics solutions to understand customer behavior, segmentation, and purchasing patterns.",USER-008,2024-12-11,2025-01-10
OPP-035,Sales Performance Optimization,ACC-001,LEAD-013,Follow Up,60,15304,2025-07-10,2024-12-18,Won,"Implement analytics to optimize sales processes, identify top performers, and improve revenue generation.",USER-008,2024-12-12,2024-12-18
OPP-036,Marketing Campaign Effectiveness,ACC-002,LEAD-013,Discovery,60,40643,2025-07-13,2025-01-03,Cancelled,"Analyze marketing campaign data to measure effectiveness, ROI, and optimize future campaigns.",USER-008,2024-12-14,2025-01-03
OPP-037,Supply Chain Optimization,ACC-003,LEAD-013,Discovery,90,24585,2025-03-26,2024-12-18,Cancelled,"Apply analytics to optimize inventory management, logistics, and supply chain efficiency.",USER-008,2024-12-16,2024-12-18
OPP-038,Financial Forecasting,ACC-004,LEAD-013,Connected,30,34108,2025-07-20,2024-12-31,Cancelled,"Build predictive models for financial forecasting, budgeting, and financial risk assessment.",USER-008,2024-12-23,2024-12-31
OPP-039,Operational Efficiency Improvement,ACC-004,LEAD-013,Discovery,60,30864,2025-07-01,2025-01-15,Cancelled,"Develop analytics to identify bottlenecks, improve process efficiency, and reduce operational costs.",USER-008,2024-12-26,2025-01-15
OPP-040,Customer Behavior Analysis,ACC-003,LEAD-014,Discovery,90,49737,2025-08-22,2025-03-02,Cancelled,"Develop analytics solutions to understand customer behavior, segmentation, and purchasing patterns.",USER-016,2025-02-20,2025-03-02
OPP-041,Sales Performance Optimization,ACC-001,LEAD-014,Follow Up,30,57097,2025-05-29,,In Progress,"Implement analytics to optimize sales processes, identify top performers, and improve revenue generation.",USER-016,2025-02-26,2025-03-16
OPP-042,Marketing Campaign Effectiveness,ACC-003,LEAD-014,Discovery,30,24878,2025-10-24,2025-03-18,Won,"Analyze marketing campaign data to measure effectiveness, ROI, and optimize future campaigns.",USER-016,2025-03-01,2025-03-18
OPP-043,Network Infrastructure,ACC-004,LEAD-015,Connected,30,14948,2025-07-21,2025-02-06,Cancelled,"Comprehensive audit of network devices, firewalls, and intrusion detection systems to identify security vulnerabilities.",USER-008,2025-01-23,2025-02-06
OPP-044,Infrastructure as a Service (IaaS),ACC-003,LEAD-016,Discovery,90,11290,2025-07-16,2025-02-16,Won,"Migrate on-premises infrastructure to IaaS cloud platforms, improving scalability and flexibility.",USER-009,2025-01-23,2025-02-16
